,subject,predicate,object
983,XIAP,inhibits,DIABLO
985,PRMT6,inhibits,THBS1
987,ATR,inhibits,PLK1
989,WEE1,inhibits,CDK1
994,PPM1A,inhibits,PRKAG1
998,HIC1,inhibits,E2F1
1001,SOCS3,inhibits,TRAF6
1002,SOCS3,inhibits,MAPK8IP1
1015,AKT1,inhibits,TBC1D1
1016,AKT1,inhibits,TBC1D4
1017,PPM1D,inhibits,ATM
1021,SMYD2,inhibits,TP53
1034,RIOX1,inhibits,SP7
1037,TP53,inhibits,RECQL4
1040,CTBP1,inhibits,ELK3
1043,PRDM2,inhibits,H3C8
1045,KMT5A,inhibits,H4-16
1048,BIRC3,inhibits,DIABLO
1053,BIRC5,inhibits,DIABLO
1054,DIABLO,inhibits,BIRC5
1061,HTRA2,inhibits,BIRC6
1062,BIRC6,inhibits,HTRA2
1063,HTRA2,inhibits,BIRC3
1064,HTRA2,inhibits,BIRC2
1066,HTRA2,inhibits,XIAP
1068,BIRC6,inhibits,DIABLO
1069,DIABLO,inhibits,BIRC6
1073,CASP3,inhibits,IKBKB
1074,CASP3,inhibits,RELA
1078,BIRC2,inhibits,CASP7
1079,BIRC3,inhibits,CASP7
1083,CASP3,inhibits,EIF2A
1084,BIRC5,inhibits,CASP9
1087,PRKN,inhibits,VDAC1
1096,BIRC3,inhibits,CASP9
1097,CASP3,inhibits,BIRC6
1098,BIRC6,inhibits,CASP3
1102,MAP3K7,inhibits,TAB2
1107,DAXX,inhibits,FAS
1110,BCL2L2,inhibits,BAK1
1111,CASP7,inhibits,PARP1
1115,BCL2L2,inhibits,BAX
1118,BIRC6,inhibits,CASP7
1119,RPS6KA3,inhibits,TSC2
1120,RPS6KA1,inhibits,TSC2
1121,MAPK3,inhibits,TSC2
1123,PRKACA,inhibits,MAP1LC3B
1138,CASP2,inhibits,GOLGA3
1142,BID,inhibits,BCL2L2
1143,BCL2L2,inhibits,BID
1144,BCL2L2,inhibits,BAD
1145,BAD,inhibits,BCL2L2
1146,BBC3,inhibits,BCL2L2
1147,BBC3,inhibits,BCL2L2
1148,BCL2L11,inhibits,BCL2L2
1149,BCL2L2,inhibits,BCL2L11
1150,BCL2L11,inhibits,BCL2
1151,BCL2,inhibits,BCL2L11
1152,BID,inhibits,BCL2L1
1153,BCL2L1,inhibits,BID
1154,BCL2L11,inhibits,BCL2L1
1155,BCL2L1,inhibits,BCL2L11
1156,BCL2,inhibits,BAK1
1158,BCL2L1,inhibits,BAK1
1161,BCL6,inhibits,TP53
1172,TP53,inhibits,HSP90AB1
1173,TP53,inhibits,HSPA8
1176,TP53,inhibits,MAD1L1
1181,HMGB1,inhibits,BECN1
1183,CDK1,inhibits,PIK3C3
1184,MCL1,inhibits,BECN1
1185,CDK5,inhibits,PIK3C3
1186,TNFAIP3,inhibits,BECN1
1188,DYNLL1,inhibits,AMBRA1
1189,ULK1,inhibits,DYNLL1
1193,FBXO5,inhibits,ANAPC11
1197,BTRC,inhibits,FBXO5
1198,BCL6,inhibits,ZBTB17
1200,BCL6,inhibits,ATR
1210,VHL,inhibits,HIF1A
1230,SIRT1,inhibits,PER2
1236,NR1D1,inhibits,ARNTL
1238,PER1,inhibits,ARNTL
1240,PER2,inhibits,ARNTL
1241,NR1D2,inhibits,ARNTL
1242,PER3,inhibits,ARNTL
1243,CAND1,inhibits,CUL1
1246,GAPDH,inhibits,EDN1
1250,GLRX,inhibits,GAPDH
1255,SIRT6,inhibits,RELA
1256,DKK1,inhibits,LRP5
1262,COPS5,inhibits,CDKN1B
1263,NKRF,inhibits,NFKB2
1264,NKRF,inhibits,NFKB1
1265,NKRF,inhibits,RELA
1266,NKRF,inhibits,REL
1267,TWIST1,inhibits,TIMP1
1268,TWIST1,inhibits,CDH1
1269,TWIST1,inhibits,RELA
1272,FRAT2,inhibits,GSK3B
1277,ATM,inhibits,RPA1
1282,MIR22HG,inhibits,MYCBP
1286,CDK11A,inhibits,EIF3F
1287,CDK11B,inhibits,EIF3F
1288,DDB2,inhibits,CDKN1A
1289,PPM1D,inhibits,H2AX
1290,ABL1,inhibits,TERT
1291,TP53,inhibits,MIR17HG
1296,TRIM28,inhibits,STAT3
1298,RB1,inhibits,E2F1
1301,KLF6,inhibits,PTTG1
1302,E2F6,inhibits,UXT
1308,GSK3B,inhibits,FOSL1
1311,EP300,inhibits,HDAC6
1313,HDAC6,inhibits,TUBA4B
1316,TRIM8,inhibits,SOCS1
1317,RECQL5,inhibits,RAD51
1319,ZBTB4,inhibits,CDKN1A
1324,NFKBIZ,inhibits,STAT3
1333,PLK1,inhibits,PKMYT1
1374,KL,inhibits,IGF1R
1381,NOLC1,inhibits,CSNK2A1
1387,PRMT5,inhibits,H4-16
1389,PRMT5,inhibits,H2AZ1
1390,HDAC2,inhibits,H2AZ1
1391,HDAC2,inhibits,H2BC11
1392,MST1,inhibits,H2BC11
1394,HDAC2,inhibits,H3C8
1395,SIAH1,inhibits,CTNNB1
1406,DFFA,inhibits,DFFB
1411,BACH1,inhibits,NFE2L2
1412,BACH1,inhibits,NQO1
1414,GSK3B,inhibits,CTNNB1
1416,MAPK3,inhibits,BCL2L11
1417,MAPK1,inhibits,BCL2L11
1433,ACAA2,inhibits,BNIP3
1434,BNIP3,inhibits,RHEB
1446,CFLAR,inhibits,FADD
1455,BCL2,inhibits,BAD
1457,BCL2,inhibits,BAX
1458,BAX,inhibits,BCL2
1459,BCL2L1,inhibits,BAX
1469,NEK11,inhibits,CDC25A
1490,BTK,inhibits,TIRAP
1498,MDM2,inhibits,KAT5
1503,MAVS,inhibits,DDX58
1509,HSPA5,inhibits,ERN2
1510,HSPA5,inhibits,EIF2AK3
1518,CDK5RAP3,inhibits,CHEK1
1519,HSPA5,inhibits,ERN1
1522,HSPA5,inhibits,ATF6
1535,SOCS3,inhibits,LIFR
1536,SOCS3,inhibits,IL6R
1541,PRKN,inhibits,SYT11
1542,PRKN,inhibits,GPR37
1548,AKT1,inhibits,ZFP36L1
1562,EHMT2,inhibits,H3C8
1563,EHMT1,inhibits,H3C8
1564,SETDB1,inhibits,H3C8
1573,TRDMT1,inhibits,CCPG1
1578,TRIM28,inhibits,HDAC1
1590,GZMA,inhibits,SET
1591,SIRT1,inhibits,RELA
1593,SET,inhibits,NME1
1594,SIRT1,inhibits,RELB
1598,PRMT6,inhibits,H3C8
1599,DZIP3,inhibits,H2AZ1
1601,MEN1,inhibits,TERT
1602,STAT1,inhibits,CREBBP
1607,GZMA,inhibits,HMGB2
1609,IL10,inhibits,NFKB1
1610,EP300,inhibits,RECQL4
1617,HELLS,inhibits,HOXC8
1618,HELLS,inhibits,HOXC6
1621,HSPB1,inhibits,PRKCD
1625,DZIP3,inhibits,SSRP1
1630,EP300,inhibits,BCL6
1633,CYLD,inhibits,IKBKG
1637,AR,inhibits,FOXO3
1644,PPARA,inhibits,FOXO1
1648,FOXO1,inhibits,PPARG
1650,FOXO1,inhibits,NCOR2
1653,RPS6KB1,inhibits,MTOR
1656,INSIG1,inhibits,SERBP1
1657,DUSP22,inhibits,MAPK10
1658,ITCH,inhibits,CFLAR
1667,WAPL,inhibits,RAD21
1685,PARP1,inhibits,KDM5B
1687,SIRT1,inhibits,WRN
1688,HDAC1,inhibits,TP53
1694,MAT1A,inhibits,ESR1
1695,MAT1A,inhibits,BRCA1
1696,MTA1,inhibits,ESR1
1697,MTA1,inhibits,BRCA1
1703,CDK1,inhibits,TP53BP1
1708,SENP1,inhibits,TRIM28
1712,HDAC10,inhibits,TRIM28
1714,SUMO1,inhibits,PARP1
1715,SUMO3,inhibits,PARP1
1720,EP400,inhibits,KAT5
1721,RNF2,inhibits,H2AZ1
1724,EP400,inhibits,CDKN1A
1726,CHD8,inhibits,CTNNB1
1727,CSNK1A1,inhibits,PHLPP1
1728,CSNK1A1,inhibits,IFNAR1
1732,FBXO31,inhibits,CCND1
1735,NCOR2,inhibits,PPARG
1736,NCOR1,inhibits,PPARG
1744,NCOR1,inhibits,RBPJ
1745,ESR1,inhibits,FOXO1
1748,NR1I3,inhibits,FOXO1
1749,NLK,inhibits,TCF7L2
1751,SOX17,inhibits,TCF7L2
1752,FOXG1,inhibits,FOXO1
1754,MYC,inhibits,CDKN1A
1755,CDKN1A,inhibits,MYC
1779,EP300,inhibits,FEN1
1786,APC,inhibits,POLB
1787,APC,inhibits,FEN1
1795,CFL1,inhibits,ACTC1
1808,PLK1,inhibits,FANCM
1811,USP7,inhibits,SKP1
1822,BIRC2,inhibits,MAP3K14
1823,BIRC3,inhibits,MAP3K14
1826,ERCC6,inhibits,TP53
1827,ERCC6,inhibits,TP53
1828,BIRC7,inhibits,DIABLO
1829,DIABLO,inhibits,BIRC7
1836,RB1,inhibits,YY1
1840,MPG,inhibits,ESR1
1851,DLC1,inhibits,BCL2L11
1863,STAT1,inhibits,HIF1A
1866,KDM1A,inhibits,TP53
1871,KAT2B,inhibits,CDK2
1872,EP300,inhibits,HMGN1
1873,HMGN2,inhibits,PBRM1
1874,HMGN1,inhibits,PBRM1
1876,TOP1,inhibits,LIG3
1880,PARP1,inhibits,TOP1
1881,GADD45A,inhibits,CDK1
1883,TERF2,inhibits,CHEK2
1888,ATM,inhibits,ZNF420
1894,CHEK1,inhibits,H3C8
1897,HIF1AN,inhibits,EP300
1898,MAD2L1,inhibits,ANAPC7
1899,FBXO5,inhibits,FZR1
1900,PLK1,inhibits,EVI5
1901,PARP1,inhibits,AURKB
1903,MAD2L1,inhibits,CDC20
1910,E2F4,inhibits,MYBL2
1914,MAPK14,inhibits,DDB2
1915,MAPK14,inhibits,CCND2
1919,FBXW8,inhibits,CCND1
1926,KDM1B,inhibits,H3C8
1927,TTK,inhibits,PRC1
1931,KDM1A,inhibits,CHRNA1
1932,KDM1A,inhibits,CDKN1C
1934,KDM1A,inhibits,ACTB
1935,KDM1A,inhibits,SCN1A
1936,KDM1A,inhibits,SCN2A
1938,KDM1A,inhibits,SCN3A
1945,GMNN,inhibits,CDC6
1946,CDK2,inhibits,CDKN1A
1947,CDKN1A,inhibits,CDK2
1952,TP53,inhibits,NFYB
1954,TP53,inhibits,NFYA
1957,SIRT2,inhibits,H3C8
1961,SIRT1,inhibits,H3C8
1965,MDM4,inhibits,TP53
1970,NEDD8,inhibits,CUL4A
1973,USP28,inhibits,SKP1
1975,GTSE1,inhibits,TP53
1976,GFI1,inhibits,BAX
1979,GFI1B,inhibits,CDKN1A
1984,BTF3,inhibits,GAL
1990,PRKDC,inhibits,H1-1
1992,ATR,inhibits,CLSPN
1995,NEDD4,inhibits,POLR2L
2002,USP1,inhibits,PCNA
2003,CDKN1A,inhibits,POLK
2004,TP53,inhibits,POLK
2009,CAND1,inhibits,CUL4A
2013,CHEK2,inhibits,ASF1A
2021,RACGAP1,inhibits,CDC42
2043,GLRX,inhibits,MAP3K5
2044,TXN,inhibits,MAP3K5
2045,CDKN1A,inhibits,FEN1
2046,CDKN1A,inhibits,PCNA
2049,WSB1,inhibits,HIPK2
2050,SIAH2,inhibits,HIPK2
2051,YAP1,inhibits,ITCH
2054,HDAC3,inhibits,H3C8
2055,ATM,inhibits,SIAH1
2056,CDK2,inhibits,RB1
2057,SUV39H2,inhibits,H3C8
2058,SIAH1,inhibits,HIPK2
2062,MAPK8,inhibits,CTBP1
2064,CSNK2B,inhibits,CHEK2
2065,CDC20,inhibits,CCNA2
2068,EZH2,inhibits,H3C8
2069,BCL2,inhibits,TP53AIP1
2072,TP53,inhibits,CDC20
2074,SUV39H1,inhibits,H3C8
2080,MIR17HG,inhibits,E2F1
2082,E2F6,inhibits,E2F1
2084,E2F1,inhibits,HSPA5
2093,PTPN2,inhibits,STAT3
2094,STAT3,inhibits,PTPN2
2096,PTPN2,inhibits,KDR
2103,PRKCD,inhibits,PRKDC
2105,PRKDC,inhibits,EIF2AK4
2114,MAPK14,inhibits,EGFR
2115,MAPK14,inhibits,CDC25A
2117,MAPK8,inhibits,CDC25B
2118,MAPK14,inhibits,CDC25B
2119,SIRT1,inhibits,TP53
2125,NOL3,inhibits,FADD
2126,NOL3,inhibits,FAS
2134,CTNNBIP1,inhibits,CTNNB1
2135,PTTG1,inhibits,ESPL1
2136,FBXO5,inhibits,CDC20
2140,E2F4,inhibits,CCNB1
2141,E2F4,inhibits,CDK1
2154,SPHK2,inhibits,HDAC2
2157,SPHK2,inhibits,HDAC1
2164,HDAC3,inhibits,RELA
2177,CDKN2A,inhibits,MYC
2179,CDKN2A,inhibits,MYC
2180,CDKN2C,inhibits,CDK4
2182,EIF4E,inhibits,MYC
2190,AR,inhibits,CASP2
2192,PSME3,inhibits,CDKN2A
2193,PSME3,inhibits,CDKN2A
2196,MDM2,inhibits,TP53
2197,SHC1,inhibits,FOXO3
2205,PSME3,inhibits,NCOA3
2221,KLK3,inhibits,AR
2235,CHEK1,inhibits,CDC25C
2236,CHEK2,inhibits,CDC25C
2240,PADI4,inhibits,H3C8
2245,LMO4,inhibits,BRCA1
2250,GSK3B,inhibits,HSF1
2253,UBE2I,inhibits,SOX4
2265,PADI4,inhibits,H4-16
2267,SUMO1,inhibits,ELF4
2268,SUMO1,inhibits,SRF
2269,FYN,inhibits,NFE2L2
2276,PPP1R1B,inhibits,PPP1CA
2277,TRAF6,inhibits,MYB
2284,ZFHX3,inhibits,AFP
2286,ZBTB16,inhibits,CEBPA
2288,ZBTB16,inhibits,CCNA2
2291,PRKCG,inhibits,KEAP1
2292,CDK2,inhibits,ZBTB16
2294,ZBTB16,inhibits,GFI1
2298,CDK5,inhibits,CDK5R1
2300,SUMO2,inhibits,ELF4
2310,CDKN2A,inhibits,NPM1
2311,CDKN2A,inhibits,HUWE1
2312,CDKN2A,inhibits,HUWE1
2331,CDK2,inhibits,LIG3
2332,MDM2,inhibits,HNRNPK
2334,MEN1,inhibits,DBF4
2341,ABL1,inhibits,PAK2
2351,DTL,inhibits,KMT5A
2352,ABL1,inhibits,PLCG1
2356,AKT1S1,inhibits,AKT3
2357,AKT3,inhibits,AKT1S1
2365,ABL1,inhibits,MDM4
2374,STK38,inhibits,MAP3K1
2375,STK38,inhibits,MAP3K2
2396,ABL1,inhibits,DDB2
2401,AURKA,inhibits,PPP1R1B
2405,ERBB4,inhibits,CBFA2T3
2423,HDAC6,inhibits,ELAVL1
2440,ELAVL1,inhibits,BRCA1
2444,CHFR,inhibits,PLK1
2468,PTEN,inhibits,SP1
2471,AURKB,inhibits,BIRC5
2482,AURKB,inhibits,VIM
2483,AURKB,inhibits,REC8
2517,DENND4A,inhibits,BRD7
2521,MAF1,inhibits,TBP
2538,TP53,inhibits,BIRC3
2555,MAPK1,inhibits,CDK1
2556,GSK3B,inhibits,CDK1
2559,CDK2,inhibits,CCNE1
2560,GSK3B,inhibits,CCNE1
2561,PKMYT1,inhibits,CDK1
2562,BRCC3,inhibits,H2BC11
2563,BRCC3,inhibits,H2AZ1
2564,RING1,inhibits,H2AZ1
2566,ERBB4,inhibits,ZNF652
2597,ERBB2,inhibits,CDK1
2598,MDM2,inhibits,ERBB4
2601,TNFAIP3,inhibits,TBK1
2603,TNFAIP3,inhibits,IKBKE
2606,SMAD2,inhibits,TGFBR2
2608,SMAD3,inhibits,TGFBR1
2610,SMAD2,inhibits,TGFBR1
2613,SMAD3,inhibits,TGFBR2
2615,HSPB2,inhibits,MAPK8
2634,HSBP1,inhibits,HSF1
2637,HSPB2,inhibits,CASP3
2639,HSPD1,inhibits,BAX
2645,AKT1,inhibits,HSPB1
2647,HSPB1,inhibits,NFKBIA
2651,FANCC,inhibits,EIF2AK2
2652,MAPK14,inhibits,MAPK3
2661,MAPK1,inhibits,BRAF
2668,HSPB6,inhibits,PPP1R1B
2674,RPS6KA1,inhibits,BAD
2679,MAPK3,inhibits,BRAF
2685,BIRC3,inhibits,TRAF2
2724,PAX5,inhibits,PDCD1
2740,PAX5,inhibits,CSF1R
2764,RASSF1,inhibits,CDC20
2765,AURKA,inhibits,RASSF1
2771,UBE2I,inhibits,PPARG
2775,RUNX1,inhibits,MIR17HG
2776,MIR17HG,inhibits,RUNX1
2783,HERC2,inhibits,XPA
2789,OTUB1,inhibits,UBE2N
2792,OTUB1,inhibits,RNF168
2793,GATA1,inhibits,SPI1
2794,SPI1,inhibits,GATA1
2809,ATM,inhibits,CREB1
2810,TIPRL,inhibits,PPP2CA
2815,PPM1D,inhibits,UNG
2820,MET,inhibits,HGF
2826,PPM1D,inhibits,CHEK1
2827,CDCA3,inhibits,WEE1
2829,DUSP1,inhibits,FANCI
2834,BCL2,inhibits,XRCC6
2835,DYNLL2,inhibits,BMF
2838,BTG2,inhibits,CCND1
2842,GSK3B,inhibits,VDAC1
2843,YY1,inhibits,FAS
2844,TGFB1,inhibits,NOS2
2845,MAPK1,inhibits,CASP9
2846,AKT1,inhibits,RAF1
2850,JUNB,inhibits,BCL2
2858,JUNB,inhibits,BCL2L1
2861,ID3,inhibits,TCF3
2869,TRIM28,inhibits,GADD45A
2870,TRIM28,inhibits,BAX
2871,TRIM28,inhibits,BBC3
2872,TRIM28,inhibits,BBC3
2873,TRIM28,inhibits,PMAIP1
2876,CASP3,inhibits,PSIP1
2877,KEAP1,inhibits,NFE2L2
2878,NFE2L2,inhibits,KEAP1
2879,CASP3,inhibits,PARP1
2888,BIRC5,inhibits,CASP7
2891,RB1,inhibits,E2F3
2892,RB1,inhibits,E2F2
2896,BAG4,inhibits,TNFRSF1A
2898,TRAF2,inhibits,TNFRSF1B
2902,BTRC,inhibits,WEE1
2909,MARK1,inhibits,MAP2
2910,MARK1,inhibits,MAP4
2939,XRCC6,inhibits,BAX
2941,BAG1,inhibits,PPP1R15A
2950,CASP3,inhibits,XIAP
2951,XIAP,inhibits,CASP3
2953,BIRC3,inhibits,CASP3
2954,XIAP,inhibits,CASP9
2962,MARK2,inhibits,MAPT
2964,MARK1,inhibits,MAPT
2969,NAB2,inhibits,EGR1
2975,TP53,inhibits,AURKA
2982,NAB1,inhibits,EGR1
2984,TP53,inhibits,IER3
3010,TNFRSF10D,inhibits,TNFSF10
3020,TRADD,inhibits,TNFRSF1A
3024,TNFRSF1A,inhibits,TNF
3025,BIRC2,inhibits,CASP9
3031,BTRC,inhibits,LGI3
3042,GZMB,inhibits,HAX1
3045,PIM1,inhibits,BAD
3054,TOPBP1,inhibits,E2F1
3059,DDIT3,inhibits,BCL2
3060,DDIT3,inhibits,BCL2
3064,HSPA1A,inhibits,APAF1
3066,DUSP6,inhibits,MAPK6
3077,GNRHR,inhibits,MMP9
3080,GNRHR,inhibits,TIMP1
3081,GNRHR,inhibits,TIMP3
3084,BMF,inhibits,BCL2L1
3087,EIF2AK3,inhibits,APAF1
3093,BMF,inhibits,MCL1
3094,BMF,inhibits,BCL2
3095,FUS,inhibits,BCL2L1
3096,MAPK8,inhibits,BCL2L1
3098,FUS,inhibits,BCL2
3099,TRAF3,inhibits,MAP3K14
3102,XIAP,inhibits,CASP7
