,subject,predicate,object
63034,PHENYTOIN,inhibits,SCN9A
63038,COMPOUND 38 [PMID: 20817473],inhibits,AURKC
63041,MOXETUMOMAB PASUDOTOX,inhibits,CD22
63045,Apatinib,inhibits,KDR
63049,ASENAPINE MALEATE,inhibits,DRD2
63051,COMPOUND 30 [PMID: 22902653],inhibits,TESK2
63052,METERGOLINE,inhibits,HTR2C
63056,MONTELUKAST,inhibits,CYSLTR1
63057,CARBENOXOLONE,inhibits,GJC3
63061,GLPG0974,inhibits,FFAR2
63063,CLOZAPINE,inhibits,HTR2A
63068,FLUVOXAMINE,inhibits,SIGMAR1
63071,SORAFENIB TOSYLATE,inhibits,FLT4
63074,ALLITINIB,inhibits,EGFR
63075,BA2+,inhibits,KCNJ1
63076,Refametinib,inhibits,MAP2K2
63077,AZD-4769,inhibits,EGFR
63091,HALOPERIDOL,inhibits,DRD3
63096,(+)-SULPIRIDE,inhibits,DRD4
63098,PKI-587,inhibits,PIK3R6
63099,ETICLOPRIDE,inhibits,DRD3
63102,BLOSOZUMAB,inhibits,SOST
63108,COMPOUND 41 [PMID: 15026062],inhibits,LIPE
63114,WZ4002,inhibits,EGFR
63116,TIQ-15,inhibits,CYP2D6
63130,GNF-5837,inhibits,NTRK2
63132,HALOPERIDOL DECANOATE,inhibits,DRD3
63142,COMPOUND 14 [PMID: 30925062],inhibits,ABCC1
63143,TACEDINALINE,inhibits,HDAC7
63144,MEPENZOLIC ACID,inhibits,CHRM3
63147,CE-245677,inhibits,TEK
63150,TRIMIPRAMINE,inhibits,SLC6A3
63154,VISMODEGIB,inhibits,SMO
63162,BI113823,inhibits,BDKRB1
63166,TETRAETHYLAMMONIUM,inhibits,KCNN2
63174,CEP-5214,inhibits,FLT4
63179,CHLORPROMAZINE,inhibits,HTR2A
63181,DIPYRIDAMOLE,inhibits,PDE4D
63184,QA1,inhibits,NPSR1
63192,[D-PHE6]BOMBESIN(6-13)PROPYLAMIDE,inhibits,GRPR
63198,REGRELOR,inhibits,P2RY12
63201,RS-102895,inhibits,CCR2
63204,LY233053,inhibits,GRIN2D
63205,PELITINIB,inhibits,EGFR
63211,ONO-8713,inhibits,PTGER1
63213,FORODESINE HYDROCHLORIDE,inhibits,PNP
63218,UMECLIDINIUM,inhibits,CHRM4
63225,COMPOUND 77 [PMID: 24793884],inhibits,CDK18
63229,DIDS,inhibits,ANO1
63235,BELIZATINIB,inhibits,ALK
63236,MESORIDAZINE,inhibits,HTR1A
63240,FLUFENAMIC ACID,inhibits,TRPM2
63243,HYDROCHLOROTHIAZIDE,inhibits,SLC12A3
63255,DALFAMPRIDINE,inhibits,KCNB2
63259,TG100-801,inhibits,FYN
63269,SUNITINIB MALATE,inhibits,CSF1R
63270,L-Β-BA,inhibits,SLC1A1
63277,VIRAL MACROPHAGE INFLAMMATORY PROTEIN-II,inhibits,CCR2
63285,RO 63-0563,inhibits,HTR6
63290,ARTICAINE HYDROCHLORIDE,inhibits,SCN10A
63291,DOVITINIB,inhibits,FLT1
63294,Henatinib,inhibits,KDR
63302,Α-CONOTOXIN RGIA,inhibits,CHRNA10
63306,RUBOXISTAURIN,inhibits,PRKCG
63318,BYL719,inhibits,PIK3C2B
63321,PKI-587,inhibits,PIK3C3
63323,GSK2126458,inhibits,AKT3
63326,DOVITINIB,inhibits,FLT1
63329,PERAMPANEL,inhibits,GRIA2
63333,NORGESTIMATE,inhibits,TRPC3
63340,AMRUBICIN,inhibits,TOP2A
63341,KU-0060648,inhibits,PIK3CB
63343,Famitinib,inhibits,KDR
63344,TETRODOTOXIN,inhibits,SCN9A
63364,NINTEDANIB,inhibits,FRK
63366,BMS-823778,inhibits,HSD11B1
63369,GSK583,inhibits,RIPK2
63373,COMPOUND 27 [PMID: 26938474],inhibits,BCAT2
63377,TMP269,inhibits,HDAC4
63378,RIPA-56,inhibits,RIPK1
63390,IXAZOMIB CITRATE,inhibits,PSMD2
63391,TOCILIZUMAB,inhibits,IL6R
63401,TESEVATINIB,inhibits,EGFR
63402,KI-20227,inhibits,CSF1R
63409,COMPOUND 25B [PMID: 22564207],inhibits,RPS6KA3
63410,DRONEDARONE HYDROCHLORIDE,inhibits,SCN3A
63412,COMPOUND 1754-31 [PMID: 23788657],inhibits,FPR2
63413,PRALATREXATE,inhibits,DHFR
63414,COMPOUND 2C [PMID: 24900538],inhibits,ABL1
63415,POZIOTINIB,inhibits,EGFR
63422,VERAPAMIL,inhibits,KCNA10
63424,UPROSERTIB,inhibits,AKT3
63430,SRX251,inhibits,AVPR1A
63437,HESPERADIN,inhibits,ROS1
63439,DINUTUXIMAB,inhibits,B4GALNT1
63451,SELICICLIB,inhibits,CDK9
63455,ROCURONIUM BROMIDE,inhibits,CHRNG
63457,RWJ-56423,inhibits,TPSAB1
63468,X-396,inhibits,ALK
63480,AMG-479,inhibits,IGF1R
63495,MS023,inhibits,PRMT3
63515,4'-N-BENZOYLSTAUROSPORINE,inhibits,KIT
63525,CRISABOROLE,inhibits,PDE4B
63529,AMLODIPINE BESYLATE,inhibits,CACNA1C
63531,ACALISIB,inhibits,PIK3CA
63532,GW803430,inhibits,MCHR1
63539,PAZOPANIB HYDROCHLORIDE,inhibits,LCK
63540,CS2164,inhibits,KDR
63548,LW106,inhibits,IDO1
63552,TAK-632,inhibits,FGFR3
63556,CEP-11981,inhibits,NTRK2
63557,RO3280,inhibits,TTK
63558,FLECAINIDE,inhibits,KCNA5
63562,KETOTIFEN,inhibits,HRH1
63566,LGH-447,inhibits,PIM1
63577,ECALLANTIDE,inhibits,KLK3
63579,OSIMERTINIB MESYLATE,inhibits,ERBB2
63581,WH-4-023,inhibits,LCK
63582,BYL719,inhibits,PIK3CB
63583,TERGURIDE,inhibits,ADRA2B
63590,DACOMITINIB,inhibits,EGFR
63591,HYDROXYZINE HYDROCHLORIDE,inhibits,HRH1
63599,COMPOUND 2 [PMID: 15546730],inhibits,BLK
63600,OCTANOL,inhibits,GJB3
63613,SAMIDORPHAN,inhibits,OPRM1
63615,ICEC0942,inhibits,CDK2
63621,(-)-TRANS-H2-PAT,inhibits,HRH1
63622,NV-128,inhibits,NDUFB6
63623,AV-101,inhibits,GRIN1
63633,UMBRALISIB,inhibits,CSNK1E
63637,PHENYLBUTAZONE,inhibits,PTGS1
63640,REPOTRECTINIB,inhibits,NTRK3
63644,THEOPHYLLINE,inhibits,ADORA2A
63654,MG2+,inhibits,GRIN2D
63655,TOZASERTIB,inhibits,AURKB
63656,EI1,inhibits,EZH2
63658,UNC4203,inhibits,MERTK
63665,SB939,inhibits,HDAC9
63671,STRYCHNINE,inhibits,GLRA1
63677,PEMETREXED DISODIUM,inhibits,TYMS
63679,COMPOUND 21 [PMID: 24900635],inhibits,RIPK1
63689,ATPO,inhibits,GRIA1
63694,FOSPHENYTOIN SODIUM,inhibits,SCN10A
63701,XE991,inhibits,KCNQ4
63719,PAC-14028,inhibits,TRPV1
63720,FPRL1-INHIBITOR PROTEIN,inhibits,FPR2
63747,BAY80-6946,inhibits,PIK3C2B
63750,COMPOUND 34 [PMID: 24749861],inhibits,ERN1
63751,RUFINAMIDE,inhibits,SCN1A
63758,LEVOMILNACIPRAN,inhibits,SLC6A4
63775,FEDRATINIB,inhibits,TYK2
63779,EFLORNITHINE HYDROCHLORIDE HYDRATE,inhibits,ODC1
63786,ML351,inhibits,ALOX15
63788,ZN2+,inhibits,TRPM1
63804,SORAFENIB TOSYLATE,inhibits,VEGFA
63819,TUBASTATIN A,inhibits,HDAC1
63821,NV-128,inhibits,NDUFB9
63825,ENZASTAURIN,inhibits,PRKCA
63828,TANDUTINIB,inhibits,KIT
63830,POMALIDOMIDE,inhibits,CRBN
63833,GSK189254,inhibits,HRH3
63841,BORTEZOMIB,inhibits,PSMC2
63844,ACETAZOLAMIDE SODIUM,inhibits,CA1
63853,PI 3-KG INHIBITOR II,inhibits,PIK3CG
63865,METHYLNALTREXONE,inhibits,OPRD1
63868,PONATINIB,inhibits,CDK8
63870,IXAZOMIB CITRATE,inhibits,PSMA2
63877,VANDETANIB,inhibits,FLT4
63883,ILOPERIDONE,inhibits,DRD2
63897,PD-0166285,inhibits,SRC
63898,R-(+)-METHANANDAMIDE,inhibits,KCNK9
63900,SCRIPTAID,inhibits,HDAC2
63901,COMPOUND 1A [PMID: 24900749],inhibits,HIPK2
63909,ALISERTIB,inhibits,AURKA
63915,ISOFLUROPHATE,inhibits,ACHE
63918,METHYLERGONOVINE MALEATE,inhibits,DRD1
63919,FORETINIB,inhibits,KDR
63930,GLYCOPYRROLATE BROMIDE,inhibits,CHRM3
63935,ETHACRYNATE SODIUM,inhibits,SLC12A1
63952,AT-9283,inhibits,AURKB
63954,CNX-774,inhibits,BTK
63955,PF-03814735,inhibits,AURKA
63973,LA3+,inhibits,TRPC3
63989,COMPOUND 19A [PMID: 21855335],inhibits,LCK
63991,SB 224289,inhibits,HTR2B
64000,AB680,inhibits,NT5E
64002,THREO-3-METHYLGLUTAMATE,inhibits,SLC1A6
64007,BGJ398,inhibits,PIK3C2G
64010,PI-103,inhibits,PIK3R4
64015,AZD6482,inhibits,PIK3CG
64031,COMPOUND 33 [PMID: 26230603],inhibits,ATAD2
64034,TASELISIB,inhibits,PIK3CD
64036,EXAMPLE 98 [WO2011020806],inhibits,BACE2
64040,ROMIDEPSIN,inhibits,HDAC1
64043,MERESTINIB,inhibits,FLT3
64055,PELITINIB,inhibits,ERBB4
64056,PEVONEDISTAT,inhibits,UBA3
64060,HEXAHYDROSILADIFENIDOL,inhibits,CHRM3
64067,PP121,inhibits,MTOR
64073,PEMIGATINIB,inhibits,FGFR1
64080,DILTIAZEM,inhibits,CACNA1C
64082,PONATINIB,inhibits,RIPK1
64088,AC-480,inhibits,ERBB2
64105,DOVITINIB,inhibits,KIT
64109,VINORELBIN DITARTRATE,inhibits,TUBA1B
64112,GR-389988,inhibits,NTRK1
64113,APRATASTAT,inhibits,MMP13
64114,ANISINDIONE,inhibits,GC
64121,RS-100329,inhibits,ADRA1D
64124,DANUSERTIB,inhibits,AURKB
64131,CERDULATINIB,inhibits,NUAK1
64133,AMINOPHYLLINE,inhibits,PDE4A
64134,SELFOTEL,inhibits,GRIN2C
64143,CEDIRANIB,inhibits,KDR
64152,SCRIPTAID,inhibits,HDAC1
64157,NMS-1116354,inhibits,CDC7
64159,EXAMPLE 2 [WO2013054185],inhibits,ENPP2
64163,SCH51866,inhibits,PDE5A
64164,SELISISTAT,inhibits,SIRT1
64167,TRAZODONE HYDROCHLORIDE,inhibits,HTR2C
64169,BOSENTAN,inhibits,EDNRA
64179,VORTIOXETINE HYDROBROMIDE,inhibits,HTR3A
64185,NEOSTIGMINE,inhibits,ACHE
64188,COMPOUND 25 [PMID: 31260299],inhibits,FYN
64209,PCI-24781,inhibits,HDAC9
64215,MUSCARINIC TOXIN 7,inhibits,CHRM5
64218,MK-2894,inhibits,PTGER4
64224,GKT136901,inhibits,NOX1
64226,LY2365109,inhibits,SLC6A9
64232,APREPITANT,inhibits,SPR
64234,HEXOCYCLIUM,inhibits,CHRM2
64235,COMPOUND 18 [PMID: 15664838],inhibits,DPP8
64237,CISATRACURIUM BESYLATE,inhibits,CHRNA1
64241,"PTHRP-(7-34) (HUMAN, RAT, MOUSE)",inhibits,PTH2R
64246,XL-999,inhibits,FLT3
64248,GUANIDINE HYDROCHLORIDE,inhibits,KCNH4
64251,RIPK3 INHIBITOR 42,inhibits,RIPK1
64254,AT-7519,inhibits,CDK6
64255,BREXPIPRAZOLE,inhibits,HTR2A
64259,APITOLISIB,inhibits,PIK3CD
64260,FLUFENAMIC ACID,inhibits,GJA8
64268,FASCAPLYSIN,inhibits,CDK4
64269,ACETAMINOPHEN,inhibits,FAAH
64279,EPTINEZUMAB,inhibits,CALCB
64283,AXITINIB,inhibits,FLT1
64296,DIPYRIDAMOLE,inhibits,PDE6B
64303,PWT33597,inhibits,PIK3C3
64306,L-21649,inhibits,FLT1
64308,UPADACITINIB,inhibits,TYK2
64315,OC000459,inhibits,PTGDR2
64320,PROPAFENONE HYDROCHLORIDE,inhibits,SCN5A
64324,M084,inhibits,TRPC4
64325,Delantercept,inhibits,BMP10
64328,AMG-548,inhibits,MAPK14
64333,TORSEMIDE,inhibits,SLC12A1
64336,TRIMEPRAZINE TARTRATE,inhibits,HRH1
64337,Olocrolimus,inhibits,FKBP1A
64338,BAZEDOXIFENE,inhibits,ESR2
64346,NV-128,inhibits,NDUFA2
64347,LY341495,inhibits,GRM8
64367,ISTRADEFYLLINE,inhibits,ADORA3
64373,TOFA,inhibits,ACACB
64374,SUVOREXANT,inhibits,HCRTR2
64375,SOPHORETIN,inhibits,PIK3R5
64377,PERTUZUMAB,inhibits,ERBB2
64378,2-CHLOROADENOSINE-5-TRIPHOSPHATE,inhibits,P2RY1
64379,"COMPOUND 7B [HAFTCHENARY ET AL., 2013]",inhibits,PTPN1
64385,CHIR-124,inhibits,CHEK1
64386,TG-02,inhibits,JAK2
64398,COMPOUND 1A [PMID: 18573659],inhibits,CYP3A4
64404,ENMD-981693,inhibits,FGFR3
64409,XL-228,inhibits,HCK
64410,FORSYTHOSIDE B,inhibits,TRPV3
64411,AMOXAPINE,inhibits,HTR6
64413,ABBOTT 14C,inhibits,GHSR
64417,LUZINDOLE,inhibits,MTNR1B
64422,JAK3 INHIBITOR 34,inhibits,JAK1
64448,SPIPERONE,inhibits,HTR2C
64450,ROMIDEPSIN,inhibits,HDAC4
64454,DOXYCYCLINE HYDRATE,inhibits,MMP8
64455,PANOBINOSTAT,inhibits,HDAC4
64459,COMPOUND 13R [PMID: 23639540],inhibits,ACVR1B
64466,MUPARFOSTAT,inhibits,HPSE
64467,ATOSIBAN,inhibits,AVPR2
64468,FORETINIB,inhibits,FLT4
64470,LISDEXAMFETAMINE DIMESYLATE,inhibits,SLC18A2
64483,TAK-070,inhibits,BACE1
64492,GSK1070916,inhibits,AURKC
64498,COMPOUND 8E [PMID: 24432909],inhibits,LTK
64515,OXCARBAZEPINE,inhibits,SCN8A
64517,METHSCOPOLAMINE BROMIDE,inhibits,CHRM3
64520,CARFILZOMIB,inhibits,PSMB8
64521,COMPOUND 5N [PMID: 20483621],inhibits,MAP3K3
64524,B-R13/17K H2 RELAXIN,inhibits,RXFP1
64526,"L-368,228",inhibits,OXTR
64528,PHA-793887,inhibits,CDK6
64536,PP121,inhibits,PIK3CD
64539,TEPOTINIB,inhibits,MET
64553,PF-06751979,inhibits,BACE1
64560,REGORAFENIB,inhibits,RAF1
64567,PROGESTERONE,inhibits,NR3C2
64571,BA2+,inhibits,KCNJ14
64574,MITOTANE,inhibits,CYP11B1
64587,GSK143,inhibits,SYK
64589,NPC-349,inhibits,BDKRB2
64591,TOCAINIDE HYDROCHLORIDE,inhibits,SCN9A
64596,MEK1/2 INHIBITOR,inhibits,MAP2K2
64602,AZD8055,inhibits,RPTOR
64603,OMIPALISIB,inhibits,PIK3R2
64609,DIDS,inhibits,CLCN6
64611,VENLAFAXINE,inhibits,SLC6A4
64617,DERENOFYLLINE,inhibits,ADORA2A
64638,BYL719,inhibits,PIK3CB
64644,INDIBULIN,inhibits,TUBA4A
64646,CONANTOKIN-G,inhibits,GRIN2A
64654,PHENDIMETRAZINE TARTRATE,inhibits,NAT1
64661,"D[PEN1,TYR(ME)2]AVP",inhibits,AVPR1B
64676,LY 2510924,inhibits,CXCR4
64677,HU-308,inhibits,GLRA1
64681,PANOBINOSTAT,inhibits,HDAC3
64685,TRAZODONE HYDROCHLORIDE,inhibits,HTR2A
64694,PEXMETINIB,inhibits,FLT1
64699,AFT-II,inhibits,SCN3A
64704,ALEMTUZUMAB,inhibits,CD52
64707,JAK3 INHIBITOR II,inhibits,JAK3
64708,PROPOXYCAINE HYDROCHLORIDE,inhibits,SCN4A
64712,GILTERITINIB,inhibits,NTRK1
64718,BEPAFANT,inhibits,PTAFR
64724,LXH254,inhibits,RAF1
64725,CD2+,inhibits,ASIC2
64730,AM966,inhibits,LPAR4
64735,G749,inhibits,FLT3
64739,COMPOUND 20 [PMID: 22136433],inhibits,PIM1
64748,TRIAPINE,inhibits,NR2E3
64759,MG149,inhibits,KAT5
64766,AZD6244,inhibits,MAP2K5
64772,KETAMINE,inhibits,GRIN2C
64779,RO4929097,inhibits,NOTCH4
64781,BELINOSTAT,inhibits,HDAC2
64782,QUIZARTINIB,inhibits,KIT
64784,AZD8931,inhibits,EGFR
64793,BS-181,inhibits,CDK2
64794,CVT-6883,inhibits,ADORA1
64795,WAY-100135,inhibits,HTR1A
64802,ZM-306416,inhibits,KDR
64803,SCH727965,inhibits,CDK9
64807,ELGEMTUMAB,inhibits,ERBB3
64819,ETIDOCAINE HYDROCHLORIDE,inhibits,SCN9A
64821,CIPROXIFAN,inhibits,HRH4
64824,CAFFEINE,inhibits,ADORA2B
64827,CAPTOPRIL,inhibits,ACE
64829,STO609,inhibits,CAMKK2
64835,TRAMETINIB,inhibits,MAP2K3
64836,TOSEDOSTAT,inhibits,XPNPEP2
64839,FASIDOTRIL,inhibits,ACE
64840,JAK INHIBITOR 20A,inhibits,JAK2
64849,(R)-PFI-2,inhibits,SETD7
64852,CILOBRADINE,inhibits,HCN3
64854,ROLOFYLLINE,inhibits,ADORA2B
64856,BKM120,inhibits,PIK3CA
64857,SB-773812,inhibits,HTR2A
64864,PIMASERTIB,inhibits,MAP2K1
64880,PF-05190457,inhibits,GHSR
64881,PKCBETA INHIBITOR,inhibits,PRKCB
64882,OSI-930,inhibits,KIT
64887,COMPOUND 35 [PMID: 22902653],inhibits,TESK2
64891,PF-03715455,inhibits,MAPK13
64900,CURCUMIN,inhibits,EP300
64901,COMPOUND 12 [PMID: 27448772],inhibits,MAP3K7
64906,BRENTUXIMAB VEDOTIN,inhibits,TUBB6
64911,RALFINAMIDE,inhibits,SCN9A
64912,HC-056456,inhibits,CATSPER1
64921,COMPOUND 58L [PMID: 30843696],inhibits,P2RY12
64926,LORATADINE,inhibits,SLC6A15
64928,TTP-607,inhibits,AURKB
64932,XL820,inhibits,KDR
64942,MIBEFRADIL,inhibits,CACNA1C
64952,TRIFLUOPERAZINE,inhibits,HRH1
64958,BRENTUXIMAB VEDOTIN,inhibits,TUBB8
64965,TOPIRAMATE,inhibits,GRIK2
64995,ATROPINE SULFATE,inhibits,CHRM1
65001,PKI-587,inhibits,PIK3R2
65009,NILOTINIB,inhibits,ABL1
65012,ARTICAINE HYDROCHLORIDE,inhibits,SCN3A
65015,ME-344,inhibits,NDUFB8
65037,MRE 2029F20,inhibits,ADORA3
65040,SC-80036,inhibits,MAPK14
65044,MGCD265,inhibits,KDR
65046,CARBAMAZEPINE,inhibits,SCN5A
65063,TETRACAINE,inhibits,SCN10A
65066,AM-0902,inhibits,TRPA1
65067,PIPECURONIUM BROMIDE,inhibits,CHRNE
65073,DIGOXIN,inhibits,FXYD2
65076,PYRROLIDINE MCHR1 ANTAGONIST 1,inhibits,MCHR1
65080,ETHOXZOLAMIDE,inhibits,CA9
65086,NERISPIRDINE,inhibits,KCNQ2
65087,DRAFLAZINE,inhibits,SLC29A1
65106,CUDC-101,inhibits,HDAC9
65112,RPR121154,inhibits,C5AR1
65117,PWT33597,inhibits,PIK3CD
65119,DEXNIGULDIPINE,inhibits,ADORA3
65123,GANITUMAB,inhibits,IGF1R
65127,TOLVAPTAN,inhibits,AVPR2
65131,BGJ398,inhibits,FGFR2
65138,SORAFENIB,inhibits,KDR
65140,COBIMETINIB,inhibits,MAP2K1
65141,BALSALAZIDE DISODIUM,inhibits,PTGS1
65142,TTP-607,inhibits,AURKA
65144,SB-705498,inhibits,TRPV1
65152,SENICAPOC,inhibits,KCNN4
65156,BGT-226,inhibits,PIK3R2
65160,ANISOTROPINE METHYLBROMIDE,inhibits,CHRM3
65162,MLN-8054,inhibits,AURKA
65167,EXAMPLE 2 [WO2013004676],inhibits,BACE2
65178,VACTOSERTIB,inhibits,ACVR1B
65179,REPOTRECTINIB,inhibits,NTRK2
65180,NBQX,inhibits,GRIA3
65181,FAMITINIB,inhibits,PDGFRB
65183,ONAPRISTONE,inhibits,NR3C2
65190,ORPHENADRINE CITRATE,inhibits,GRIN2D
65193,PRN694,inhibits,TEC
65197,UPROSERTIB,inhibits,AKT1
65201,BQ123,inhibits,EDNRA
65203,IPATASERTIB,inhibits,AKT1
65219,LITHIUM CITRATE HYDRATE,inhibits,IMPA1
65226,COMPOUND 4 [PMID: 19954973],inhibits,CPB2
65228,ANACARDIC ACID,inhibits,KAT2B
65236,OCLACITINIB,inhibits,JAK1
65240,COMPOUND 3 [PMID: 23849879],inhibits,KLK7
65253,Selurampanel,inhibits,GRIA1
65255,SB-334867,inhibits,HCRTR2
65257,PEGNIVACOGIN,inhibits,F9
65262,GUANIDINE HYDROCHLORIDE,inhibits,KCNS3
65268,SKF96365,inhibits,TRPC5
65270,HEXACHLOROPHENE,inhibits,NAPEPLD
65271,XILIERTINIB,inhibits,EGFR
65275,AG 490,inhibits,EGFR
65281,BC-III,inhibits,SCN2A
65282,PHENACEMIDE,inhibits,SCN11A
