,subject,predicate,object
125,HTR1B,stimulates,TRPM8
128,MCOLN2,stimulates,MCOLN1
129,MCOLN1,stimulates,MCOLN2
130,MCOLN3,stimulates,MCOLN1
131,MCOLN1,stimulates,MCOLN3
132,MCOLN2,stimulates,MCOLN3
134,KIF3A,stimulates,PKD2
138,CASP3,stimulates,ITGB4
139,MAPKAPK2,stimulates,MAPK14
140,MAPK14,stimulates,MAPKAPK2
141,MAPKAPK2,stimulates,HNRNPA0
145,HNRNPA0,stimulates,GADD45A
146,JAK2,stimulates,EPOR
147,EPOR,stimulates,JAK2
148,ESPN,stimulates,MYO15A
149,GJB6,stimulates,GJB2
150,GJB2,stimulates,GJB6
152,PARN,stimulates,GADD45A
153,NUMB,stimulates,NOTCH1
156,MAPK14,stimulates,ZFP36
158,ATOH1,stimulates,HES5
159,MAPKAPK2,stimulates,ZFP36
161,JAG2,stimulates,NOTCH1
162,DLL1,stimulates,NOTCH1
163,NOTCH1,stimulates,DLL1
164,SIX1,stimulates,LFNG
165,SIX1,stimulates,OTX2
166,SIX1,stimulates,HMX3
168,SIX1,stimulates,OTX1
169,SIX1,stimulates,DACH1
171,MYO7A,stimulates,PCDH15
172,PCDH15,stimulates,MYO7A
173,GABPA,stimulates,TXNRD1
174,GABPA,stimulates,TXN
175,MAPK3,stimulates,GABPA
176,MAPK1,stimulates,GABPA
177,TUB,stimulates,MAPK1
178,TUB,stimulates,MAPK3
180,GFI1,stimulates,CDKN1C
183,GATA3,stimulates,FGF10
184,IGF2BP1,stimulates,BTRC
185,PAX3,stimulates,DACH2
186,DACH2,stimulates,PAX3
187,NFAT5,stimulates,AKR1B1
188,FOXI1,stimulates,PAX8
189,FGF3,stimulates,FOXI1
190,NFAT5,stimulates,SLC6A12
191,AKT1,stimulates,CHUK
192,NFAT5,stimulates,SLC5A3
193,CHUK,stimulates,NFKB1
194,NFKB1,stimulates,CHUK
195,PIK3R1,stimulates,AKT1
196,CDC73,stimulates,CPSF3
197,SYMPK,stimulates,CSTF1
198,CDK1,stimulates,RRM2
199,CASP3,stimulates,ACIN1
202,TP53,stimulates,ATF3
204,ATM,stimulates,TERF2
206,MYCN,stimulates,MCM6
208,ATR,stimulates,XPA
209,MYCN,stimulates,MCM4
210,MYCN,stimulates,MCM5
211,MYCN,stimulates,MCM2
212,MYCN,stimulates,MCM3
213,E2F1,stimulates,CDCA4
216,IGF1,stimulates,IGF1R
217,CCL2,stimulates,MMP14
218,MMP14,stimulates,MMP2
219,ABL1,stimulates,TP73
221,PRKDC,stimulates,ABL1
222,MYCN,stimulates,MCM7
223,MYCN,stimulates,MCM8
224,ARNTL,stimulates,CRY2
226,ARNTL,stimulates,CRY1
228,NPAS2,stimulates,PER2
229,NPAS2,stimulates,PER1
230,ATAD2,stimulates,ESR1
231,ATAD2,stimulates,E2F1
232,USP28,stimulates,CLSPN
233,PRKN,stimulates,CCNE1
234,PCNA,stimulates,POLI
236,PCNA,stimulates,POLH
237,MYCN,stimulates,TP53
238,ATAD2,stimulates,MYC
239,ATAD2,stimulates,AR
240,USP7,stimulates,MDM2
241,USP7,stimulates,MDM4
243,RBL1,stimulates,E2F4
245,RBL2,stimulates,E2F5
246,RBL2,stimulates,E2F4
247,MDC1,stimulates,TP53BP1
248,RNF8,stimulates,H2AC20
249,MDC1,stimulates,RNF8
252,PRKN,stimulates,SNCAIP
253,DCLRE1C,stimulates,XRCC4
254,PRKN,stimulates,CTNNB1
258,ATXN2,stimulates,PRKN
259,BACE2,stimulates,APP
260,PRKN,stimulates,SNCA
261,APP,stimulates,BACE1
262,BACE1,stimulates,APP
263,XRCC4,stimulates,PNKP
264,TP53BP1,stimulates,HDAC4
265,ADAM10,stimulates,APP
268,PINK1,stimulates,TRAP1
270,XRCC1,stimulates,PNKP
271,PEBP1,stimulates,RAF1
273,CDK2,stimulates,MYC
276,TRRAP,stimulates,MYC
277,MYC,stimulates,JAG2
278,FBXW7,stimulates,MYC
279,PAK1,stimulates,PXN
280,CASP3,stimulates,PRKDC
281,CASP3,stimulates,GSN
282,SMG1,stimulates,UPF1
283,ATM,stimulates,USP28
284,MAP2K4,stimulates,MAPK8
285,ATG13,stimulates,ULK1
286,ULK1,stimulates,ATG13
287,ULK1,stimulates,RB1CC1
288,RB1CC1,stimulates,ULK1
290,UVRAG,stimulates,SH3GLB1
291,SH3GLB1,stimulates,UVRAG
292,ATG13,stimulates,RB1CC1
294,BECN1,stimulates,PIK3R4
295,RAC1,stimulates,TIAM1
296,TIAM1,stimulates,RAC1
297,HRAS,stimulates,TIAM1
298,TIAM1,stimulates,HRAS
299,ATG10,stimulates,ATG12
300,MTOR,stimulates,RPTOR
301,RPTOR,stimulates,MTOR
304,MLST8,stimulates,MTOR
306,UVRAG,stimulates,PIK3R4
307,ATG13,stimulates,ULK2
308,ULK2,stimulates,ATG13
309,UVRAG,stimulates,BECN1
310,BCL2L1,stimulates,BECN1
314,ULK2,stimulates,RB1CC1
315,RB1CC1,stimulates,ULK2
316,MCL1,stimulates,BAD
317,ATG10,stimulates,ATG5
318,ATG7,stimulates,ATG3
319,HRAS,stimulates,PLCE1
320,PLCE1,stimulates,HRAS
321,MAPK14,stimulates,MAPKAPK5
322,MAPKAPK5,stimulates,TP53
323,ATG5,stimulates,ATG16L1
324,TP53,stimulates,MCL1
326,BCL2L1,stimulates,BNIP3
330,ATG4B,stimulates,MAP1LC3B
331,CALM1,stimulates,DAPK1
332,DAPK1,stimulates,MCM3
333,SH3GLB1,stimulates,PIK3C3
337,CAPN2,stimulates,BID
338,CAPN1,stimulates,BID
340,CASP3,stimulates,SPTAN1
341,CASP3,stimulates,EIF4G1
342,CASP3,stimulates,BCAR1
343,CASP3,stimulates,EIF4G2
344,CASP3,stimulates,EIF4G3
347,CASP2,stimulates,CYCS
348,CASP2,stimulates,DIABLO
349,CASP6,stimulates,NUMA1
350,CASP6,stimulates,VIM
352,CASP2,stimulates,AIFM1
353,CASP2,stimulates,RIPK1
354,RIPK1,stimulates,CASP2
355,RIPK1,stimulates,CASP10
357,CASP10,stimulates,BID
358,ATR,stimulates,TOPBP1
359,TOPBP1,stimulates,ATR
360,SGK1,stimulates,KCNQ4
361,POU4F3,stimulates,BDNF
362,ATOH1,stimulates,POU4F3
363,POU4F3,stimulates,GFI1
364,MYO15A,stimulates,WHRN
365,SOX2,stimulates,ATOH1
366,ATOH1,stimulates,BARHL1
370,NOTCH1,stimulates,PAX8
372,KCNE1,stimulates,KCNQ4
375,E2F1,stimulates,BRCA1
376,TIRAP,stimulates,MYD88
377,SIX1,stimulates,PAX2
379,FOXI1,stimulates,SIX1
380,PDPK1,stimulates,PRKCG
381,PDK1,stimulates,PRKCG
382,JAG1,stimulates,CDKN1B
383,E2F1,stimulates,EZH2
384,E2F2,stimulates,CCNB1
385,WNT1,stimulates,JAG1
386,WNT1,stimulates,NOTCH1
387,NOTCH1,stimulates,WNT1
389,WNT1,stimulates,DLX5
390,POU4F3,stimulates,NTF3
391,NOTCH1,stimulates,HES5
392,NOTCH1,stimulates,SOX2
393,NOTCH1,stimulates,BMP4
394,MYC,stimulates,NME1
395,RALB,stimulates,RALBP1
396,RALGDS,stimulates,RALA
397,RALBP1,stimulates,CDC42
398,RALBP1,stimulates,RAC1
399,WNT1,stimulates,GBX2
400,WNT1,stimulates,PAX2
401,WNT1,stimulates,PAX8
402,WNT1,stimulates,HES1
403,NOTCH1,stimulates,JAG1
404,JAG1,stimulates,NOTCH1
405,NOTCH1,stimulates,HES1
406,WNT1,stimulates,SOX9
407,KIT,stimulates,GRB2
408,SIX1,stimulates,BMP4
409,SIX1,stimulates,FGF10
410,SIX1,stimulates,FGF3
411,EYA1,stimulates,FGF3
412,KCNQ4,stimulates,SLC26A5
413,PRKACG,stimulates,KCNQ4
414,SIX1,stimulates,GATA3
415,IKBKE,stimulates,IRF7
416,ERBB2,stimulates,GRB2
417,E2F1,stimulates,PCNA
418,AKT2,stimulates,CDKN1A
419,AKT1,stimulates,CDKN1B
420,VDR,stimulates,CASP3
421,RAD18,stimulates,RAD51C
422,PRKCG,stimulates,RAF1
423,SFRP1,stimulates,WNT4
425,MAB21L1,stimulates,FOXE3
426,PAX6,stimulates,CDH2
427,PAX6,stimulates,SHROOM3
429,SFRP1,stimulates,WNT1
430,PKNOX1,stimulates,PAX6
431,PAX6,stimulates,SFRP2
432,PAX6,stimulates,SFRP1
433,PAX6,stimulates,FN1
434,PAX6,stimulates,MAB21L1
437,CASP2,stimulates,BID
438,CASP3,stimulates,CASP2
439,CASP2,stimulates,CASP3
450,CDH1,stimulates,ARPC1B
452,RHEB,stimulates,MTOR
453,TSC2,stimulates,RHEB
454,TSC2,stimulates,TSC1
455,TSC1,stimulates,TSC2
456,ATG7,stimulates,MAP1LC3B
457,RHOA,stimulates,DIAPH1
460,RHOA,stimulates,ROCK2
461,ATG7,stimulates,ATG10
462,ATG12,stimulates,ATG7
463,ATG7,stimulates,ATG12
464,ATG12,stimulates,ATG5
465,MAP1LC3B,stimulates,ATG3
466,ATG3,stimulates,MAP1LC3B
467,CAMKK2,stimulates,PRKAG1
468,FOXO1,stimulates,NOXA1
470,CASP3,stimulates,NUMA1
474,CASP7,stimulates,VIM
475,CASP7,stimulates,TNFRSF1A
476,CASP7,stimulates,ITGB4
477,CASP3,stimulates,VIM
478,CASP3,stimulates,CASP8
479,CASP8,stimulates,CASP3
480,CASP3,stimulates,CASP10
481,CASP10,stimulates,CASP3
483,PPP1CA,stimulates,BAD
486,BCL2L1,stimulates,APAF1
487,BCL2L11,stimulates,VDAC1
489,BAK1,stimulates,VDAC1
490,BAX,stimulates,VDAC1
491,TP53,stimulates,DAPK1
492,DAPK1,stimulates,TP53
493,DAPK3,stimulates,RPL13A
496,SMAD2,stimulates,DAPK1
497,UNC5B,stimulates,PPP2R3B
498,RHEB,stimulates,MLST8
499,ATG101,stimulates,ATG13
500,PMAIP1,stimulates,BAX
502,MAPK8,stimulates,BCL2
503,DAPK1,stimulates,PRKD1
505,DAPK1,stimulates,BECN1
510,BBC3,stimulates,BAX
511,BBC3,stimulates,BAX
517,PRKCZ,stimulates,FADD
518,PIDD1,stimulates,CASP2
519,PIDD1,stimulates,IKBKG
520,RPS6KA3,stimulates,RPTOR
521,FAS,stimulates,CASP8AP2
522,RPS6KA1,stimulates,RPTOR
523,CASP8,stimulates,CASP8AP2
524,CASP8AP2,stimulates,CASP8
525,MAPK3,stimulates,MAP2K1
526,MAP2K1,stimulates,MAPK3
527,MAPK3,stimulates,RPS6KA3
528,MAPK1,stimulates,RPS6KA1
529,RPS6KA1,stimulates,MAPK1
530,DAPK3,stimulates,MYL9
531,MAPK1,stimulates,RPS6KA3
532,MAPK1,stimulates,DAPK1
535,PTPRF,stimulates,DAPK1
536,DAPK1,stimulates,DAPK3
537,DAPK1,stimulates,TSC2
538,MAPK3,stimulates,DAPK1
540,HSP90AA1,stimulates,DAPK1
541,NEO1,stimulates,DAPK1
542,RRAS,stimulates,RAF1
543,UNC5B,stimulates,DAPK1
546,RAF1,stimulates,MAP2K1
547,GSN,stimulates,ACTG1
548,DAPK3,stimulates,NR3C1
549,DAPK3,stimulates,PPP1R14A
552,DAPK3,stimulates,AR
553,ROCK1,stimulates,DAPK3
556,TLN1,stimulates,ITGB1
558,DAPK1,stimulates,CDKN2A
559,DAPK1,stimulates,CDKN2A
560,SMAD4,stimulates,DAPK1
561,SMAD3,stimulates,DAPK1
562,STAT3,stimulates,WNT5A
563,ATM,stimulates,MDC1
564,MDC1,stimulates,ATM
565,TP53,stimulates,AIFM2
567,TP53,stimulates,ABCB1
569,TP53,stimulates,ACTA2
570,TP53,stimulates,ARID3A
571,TP53,stimulates,ADGRB1
572,TP53,stimulates,APC
573,ELAVL1,stimulates,SIRT1
574,CHEK2,stimulates,ELAVL1
575,E2F3,stimulates,CCNB1
576,CHEK1,stimulates,WEE1
577,E2F1,stimulates,EED
578,WNT5A,stimulates,FZD2
581,AKT1,stimulates,CDKN1A
582,FUBP1,stimulates,MYC
584,E2F1,stimulates,CDKN1A
585,E2F3,stimulates,CDKN2A
587,E2F3,stimulates,CDKN2A
591,E2F2,stimulates,CDKN2A
592,E2F2,stimulates,CDKN2A
594,E2F1,stimulates,CDT1
596,E2F1,stimulates,CDKN2A
597,E2F1,stimulates,CDKN2A
599,E2F2,stimulates,PCNA
602,UBE2T,stimulates,FANCL
603,UBE2T,stimulates,FANCI
605,SUMO1,stimulates,PML
606,UBE2T,stimulates,FANCD2
607,TP53,stimulates,EGFR
609,TP53,stimulates,EPHA2
611,TP53,stimulates,EDN2
613,TP53,stimulates,EEF1A1
615,TP53,stimulates,HTT
616,TP53,stimulates,GPX1
617,TP53,stimulates,GML
618,TP53,stimulates,FANCC
619,TP53,stimulates,HGF
620,ATM,stimulates,SLX4
621,STAT1,stimulates,FAS
622,STAT1,stimulates,CDKN1A
623,NFE2L2,stimulates,PRDX1
624,ATM,stimulates,BID
625,KDM2B,stimulates,PRDX4
626,KDM2B,stimulates,NQO1
627,ATR,stimulates,RBBP8
628,RBBP8,stimulates,ATR
629,ATR,stimulates,FANCI
630,E2F1,stimulates,APAF1
631,CDK1,stimulates,E2F1
632,E2F1,stimulates,CDK1
633,E2F2,stimulates,EED
634,MTOR,stimulates,EIF4EBP3
635,MTOR,stimulates,EIF4EBP2
637,TP53,stimulates,BDKRB2
638,TP53,stimulates,BID
639,MAP3K8,stimulates,MAP3K14
641,TP53,stimulates,BCL2L14
642,MAP3K8,stimulates,MAP2K4
644,RICTOR,stimulates,AKT1
647,MTOR,stimulates,EIF4EBP1
648,EIF4EBP1,stimulates,MTOR
649,EIF4EBP3,stimulates,EIF4E
650,TP53,stimulates,CCNK
651,BCL10,stimulates,IKBKG
652,TP53,stimulates,CASP6
653,TP53,stimulates,CASP10
654,CASP10,stimulates,TP53
655,TP53,stimulates,CASP1
656,MAP3K14,stimulates,IKBKB
657,TP53,stimulates,RGCC
658,TP53,stimulates,BNIP3L
661,TNIP1,stimulates,IKBKG
662,E2F2,stimulates,EZH2
663,E2F4,stimulates,CDT1
664,E2F1,stimulates,DBF4
665,CCNA2,stimulates,E2F1
666,E2F1,stimulates,CCNA2
667,IL22,stimulates,IL10RB
668,TP53,stimulates,CD82
669,EPO,stimulates,EPOR
672,MAPKAPK2,stimulates,TSC2
673,TP53,stimulates,CHMP4C
674,TP53,stimulates,COL18A1
675,JAK2,stimulates,STAT3
676,TP53,stimulates,DKK1
677,TP53,stimulates,DDR1
679,CHEK2,stimulates,TP53
682,TP53,stimulates,CTSD
683,ATM,stimulates,STK11
685,TP53,stimulates,DDIT4
686,HIPK2,stimulates,TP53
687,TP53,stimulates,CX3CL1
688,ATM,stimulates,HIPK2
689,ATM,stimulates,PPP2R5D
690,ATM,stimulates,PPP2R5C
692,CXCL16,stimulates,CXCR6
693,CASP1,stimulates,IL37
694,CASP1,stimulates,CASP7
695,GTF2I,stimulates,CCND1
696,KLKB1,stimulates,PRKAG1
697,CASP1,stimulates,IL33
698,CCL3L1,stimulates,CCR5
699,ASF1A,stimulates,CHAF1B
701,TNFSF10,stimulates,TNFRSF10C
702,MAP3K7,stimulates,IKBKB
703,STK11,stimulates,PRKAG1
704,ASF1B,stimulates,CHAF1B
705,TNFRSF10A,stimulates,TNFRSF10B
706,KAT8,stimulates,H4-16
707,PARP1,stimulates,SUPT16H
708,TNFRSF10A,stimulates,RIPK1
709,TNFRSF10B,stimulates,RIPK1
710,NMI,stimulates,STAT1
712,MYC,stimulates,PMAIP1
713,ATM,stimulates,ABL1
714,TNFRSF10A,stimulates,TRADD
715,TNFRSF10B,stimulates,TRADD
716,TRAF2,stimulates,BIRC2
718,IRF1,stimulates,ISG20
719,PRKDC,stimulates,UPF1
720,STAT1,stimulates,SOCS1
721,IL10,stimulates,IL10RA
722,NLRP1,stimulates,CASP5
723,CASP1,stimulates,FGF2
725,PYCARD,stimulates,CASP1
727,IRF1,stimulates,NOS2
728,ISG15,stimulates,JAK1
730,JAK1,stimulates,IRS1
731,IRS1,stimulates,JAK1
732,CASP1,stimulates,IL1A
733,JAK1,stimulates,IRS2
734,CASP1,stimulates,SREBF2
735,INSR,stimulates,IRS2
736,ATF2,stimulates,MMP2
737,E2F1,stimulates,TP53INP1
738,TP53,stimulates,FDXR
739,STAT1,stimulates,CDKN1B
741,TRAF2,stimulates,MAP3K14
742,MAP3K14,stimulates,TRAF2
743,ABL1,stimulates,STAT1
745,IFIH1,stimulates,MAVS
746,TP53,stimulates,TIGAR
748,TP73,stimulates,TP53INP1
749,NOD2,stimulates,MAP3K14
750,PRKDC,stimulates,CASP2
751,ABL1,stimulates,TOP1
752,PIDD1,stimulates,PRKDC
753,STAT1,stimulates,MYC
754,ANO9,stimulates,STAT1
755,STAT1,stimulates,IRF1
757,EIF2AK2,stimulates,STAT1
758,TICAM1,stimulates,RIPK1
759,TICAM1,stimulates,TBK1
760,TICAM1,stimulates,IKBKE
761,IFNG,stimulates,IFNGR1
762,IRF3,stimulates,IFNB1
763,IRF7,stimulates,IFNB1
764,IRF3,stimulates,IFIT1
765,IRF3,stimulates,ISG15
766,IRF3,stimulates,CCL5
767,DAPK1,stimulates,TPM1
768,MAP1B,stimulates,DAPK1
769,DAPK1,stimulates,MAP1B
770,ATM,stimulates,SMC3
771,E2F1,stimulates,DAPK2
772,EPO,stimulates,DAPK2
773,DAPK3,stimulates,CDKN1A
774,ZDHHC9,stimulates,HRAS
775,ZDHHC9,stimulates,NRAS
776,KLF6,stimulates,DAPK2
777,IGF2,stimulates,IGF2R
778,IGF2R,stimulates,IGF2
779,FLT3LG,stimulates,FLT3
780,KITLG,stimulates,KIT
781,IGF2,stimulates,IGF1R
782,ATM,stimulates,STRAP
783,SMG1,stimulates,TP53
784,CHEK2,stimulates,STRAP
785,TLR4,stimulates,TIRAP
786,KAT2B,stimulates,H3C8
787,TLR4,stimulates,TICAM2
788,TICAM2,stimulates,TICAM1
789,TRAF6,stimulates,MAP3K7
790,TICAM1,stimulates,TRAF6
791,TLR3,stimulates,TICAM1
792,MYD88,stimulates,IRAK4
793,ATG14,stimulates,BECN1
794,SIRT2,stimulates,FOXO1
795,FOXO1,stimulates,ATG7
802,DAPK3,stimulates,MYL12A
803,DAPK1,stimulates,MYL12A
804,ROCK1,stimulates,MYL12A
807,MTOR,stimulates,DAP
809,DAPK3,stimulates,MYL5
812,RPS6KB1,stimulates,RPS6
814,CDK1,stimulates,BIRC5
816,TP53,stimulates,TYRP1
819,USP3,stimulates,H2AZ1
820,TP53,stimulates,VCAN
821,TP53,stimulates,VDR
822,TP53,stimulates,TRIAP1
823,TP53,stimulates,TRIM22
824,TP53,stimulates,TSC2
827,GAPDH,stimulates,APEX1
828,CAMKK1,stimulates,CRMP1
829,GAPDH,stimulates,POU2F1
830,POU2F1,stimulates,H2BC11
831,SFPQ,stimulates,NONO
832,NONO,stimulates,TOP1
833,APLF,stimulates,PARP1
834,ATM,stimulates,TRIM28
835,CHEK1,stimulates,RAD51
836,RAD51,stimulates,CHEK1
839,PPP1R3A,stimulates,GYS1
840,AXIN1,stimulates,GSK3B
841,GSK3B,stimulates,AXIN1
845,GSK3B,stimulates,LRP6
846,USP1,stimulates,FANCD2
850,PLK1,stimulates,WEE1
851,ATM,stimulates,HMGA2
852,AKT1,stimulates,NOS3
853,ATM,stimulates,HMGA1
854,CDK5,stimulates,PRKN
855,CSNK1A1,stimulates,CTNNB1
858,CHEK1,stimulates,TP53
859,TP53,stimulates,PLAGL1
860,PLAGL1,stimulates,TP53
861,E2F1,stimulates,CASP3
862,TP53,stimulates,ODC1
864,TP53,stimulates,PERP
865,TP53,stimulates,P2RX6
866,PPARG,stimulates,KMT5A
867,TP53,stimulates,MMP2
868,E2F1,stimulates,XPC
869,TP53,stimulates,MET
870,TP53,stimulates,NLRC4
872,TP53,stimulates,NDRG1
873,TLX1,stimulates,ALDH1A1
874,ATR,stimulates,E2F1
875,YWHAQ,stimulates,E2F1
876,E2F1,stimulates,YWHAQ
877,E2F1,stimulates,DDB2
878,DDB2,stimulates,E2F1
879,ATM,stimulates,MDM2
880,DDX17,stimulates,ESR1
881,DDX17,stimulates,MDM2
882,TP53,stimulates,RB1
883,RB1,stimulates,TP53
884,TP53,stimulates,RABGGTA
885,TP53,stimulates,PYCARD
887,TP53,stimulates,PTEN
888,TP53,stimulates,PRKAB1
889,SGK1,stimulates,FOXO3
890,TP53,stimulates,PRDM1
891,TP53,stimulates,PPM1J
892,AKT1,stimulates,FOXO1
893,TP53,stimulates,PML
894,TP53,stimulates,PLK3
895,PLK3,stimulates,TP53
896,E2F1,stimulates,CCNB1
897,E2F1,stimulates,CASP7
898,TP53,stimulates,SERPINE1
899,TP53,stimulates,SERPINB5
900,TP53,stimulates,SFN
901,TP53,stimulates,SESN1
902,TP53,stimulates,RPS27L
903,TP53,stimulates,COP1
905,TP53,stimulates,S100A2
906,TP53,stimulates,SCN3B
909,TP53,stimulates,TP73
910,TP53,stimulates,TP63
911,CDC25C,stimulates,CCNB1
912,GSK3B,stimulates,CCND1
913,TP53,stimulates,STEAP3
915,TP53,stimulates,SH2D1A
916,TP53,stimulates,TNFRSF10C
917,TP53,stimulates,TNFRSF10A
918,TP53,stimulates,TGFA
919,TP53,stimulates,TAP1
920,AXIN1,stimulates,MYC
921,GSK3B,stimulates,MYC
923,IKBKG,stimulates,IKBKB
924,CHEK1,stimulates,CDC25A
926,TAF1,stimulates,BCL2L11
927,CREBBP,stimulates,ASAH2B
928,KAT7,stimulates,H4-16
929,KAT7,stimulates,H3C8
930,CASP6,stimulates,CASP8
931,CASP8,stimulates,CASP6
932,GTF3C4,stimulates,H3C8
933,NCOA1,stimulates,H4-16
934,NCOA1,stimulates,H3C8
935,CDK1,stimulates,CSNK2B
936,MDM2,stimulates,JMY
937,NCOA3,stimulates,H3C8
938,DYRK2,stimulates,TP53
939,TBK1,stimulates,IRF7
940,RUNX1,stimulates,IER3
941,MAVS,stimulates,TBK1
942,NCOA2,stimulates,H3C8
943,NCOA3,stimulates,H4-16
944,TLR5,stimulates,MYD88
946,RIPK2,stimulates,BCL10
947,KDM3A,stimulates,H3C8
948,CLOCK,stimulates,H3C8
949,NCOA2,stimulates,H4-16
953,ATR,stimulates,RFWD3
954,TNFRSF10A,stimulates,FADD
955,BAK1,stimulates,AIFM1
956,TP53,stimulates,HIF1A
957,HIF1A,stimulates,TP53
959,CSNK2B,stimulates,TP53
960,ABL1,stimulates,WASL
962,ESCO1,stimulates,KDM1A
964,ABL1,stimulates,YTHDC1
965,CASP1,stimulates,IL1B
966,ABL1,stimulates,ZDHHC16
967,XPC,stimulates,DDB1
968,CASP1,stimulates,IL18
969,ESCO1,stimulates,RAD21
970,ABL2,stimulates,WASL
971,ABL1,stimulates,WRN
972,CAPNS1,stimulates,CAPN2
973,XRCC5,stimulates,DDB2
974,PIK3R4,stimulates,PIK3C3
975,KMT2B,stimulates,RELB
976,KMT2D,stimulates,RELB
977,KMT2B,stimulates,H3C8
978,KMT2D,stimulates,H3C8
979,CARM1,stimulates,RELB
980,BID,stimulates,BAK1
981,BID,stimulates,BAX
984,DIABLO,stimulates,XIAP
986,WEE1,stimulates,SKP1
988,CDK1,stimulates,WEE1
990,KMT5B,stimulates,H4-16
991,XRCC5,stimulates,ATRIP
992,KMT2A,stimulates,RELB
993,XRCC5,stimulates,PRKDC
995,MBD1,stimulates,SETDB1
996,MAPKAPK2,stimulates,HSPB1
997,E2F1,stimulates,HIC1
999,SMARCA4,stimulates,HIC1
1000,RNF8,stimulates,RNF168
1003,MAPK3,stimulates,MAP2K2
1004,MAP2K2,stimulates,MAPK3
1005,MAPK8,stimulates,BMF
1006,IRS1,stimulates,MAPK8
1007,MAPK8,stimulates,IRS1
1008,MAPK8,stimulates,MAPK8IP1
1009,MAPK8IP1,stimulates,MAPK8
1010,CASP5,stimulates,IL18
1011,CASP5,stimulates,IL1B
1012,MAPK8,stimulates,BAX
1013,MAPK1,stimulates,MAP2K1
1014,MAP2K1,stimulates,MAPK1
1018,PARP1,stimulates,XRCC1
1019,PARP1,stimulates,APTX
1020,HSP90AA1,stimulates,SMYD2
1022,SETD1A,stimulates,BCL2L11
1023,CXCL9,stimulates,CXCR3
1024,SETD2,stimulates,H3C8
1025,CCL5,stimulates,CCR5
1026,CCL8,stimulates,CCR5
1027,SMYD2,stimulates,H3C8
1028,CCL4,stimulates,CCR5
1029,IL6,stimulates,IL6ST
1030,SETDB2,stimulates,H3C8
1031,MAVS,stimulates,IKBKB
1032,KMT2E,stimulates,H3C8
